Lineup,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Points1,Points2,Points3,Points4,Points5,Points6,Points7
L86,Bruce Brown,Jontay Porter,Shai Gilgeous-Alexander,Keegan Murray,Chet Holmgren,Tyrese Maxey,Caris LeVert,32.81,25.79,56.41,29.98,39.19,43.89,37.64
L87,Thomas Bryant,Dalano Banton,Shai Gilgeous-Alexander,De'Aaron Fox,Chet Holmgren,Malik Monk,Caris LeVert,22.93,25.25,56.41,49.67,39.19,34.91,37.64
L88,Gradey Dick,Thomas Bryant,Bobby Portis,Shai Gilgeous-Alexander,Collin Sexton,Devin Booker,Jayson Tatum,26.1,22.93,31.18,56.41,36.92,43.49,48.72
L89,Jontay Porter,Brice Sensabaugh,Jordan Nwora,De'Aaron Fox,Damian Lillard,Domantas Sabonis,Malik Monk,25.79,23.02,25.14,49.67,48.66,58.67,34.91
L90,Bruce Brown,Jontay Porter,Bobby Portis,Tyrese Haliburton,James Harden,Chet Holmgren,Jayson Tatum,32.81,25.79,31.18,46.97,40.87,39.19,48.72
L91,Bruce Brown,Trayce Jackson-Davis,Shai Gilgeous-Alexander,De'Aaron Fox,Chet Holmgren,Desmond Bane,Harrison Barnes,32.81,24.06,56.41,49.67,39.19,39.88,23.57
L92,Jontay Porter,Jordan Nwora,Shai Gilgeous-Alexander,Damian Lillard,Jusuf Nurkic,Jimmy Butler,Keyonte George,25.79,25.14,56.41,48.66,35.65,40.61,33.0
L93,Bruce Brown,Brice Sensabaugh,Shai Gilgeous-Alexander,James Harden,Chet Holmgren,Terry Rozier,Jarrett Allen,32.81,23.02,56.41,40.87,39.19,34.48,38.87
L94,Stanley Umude,Brice Sensabaugh,Bobby Portis,Domantas Sabonis,Tyrese Maxey,Desmond Bane,Cade Cunningham,26.45,23.02,31.18,58.67,43.89,39.88,41.94
L95,Dalano Banton,Bruce Brown,Bobby Portis,Tyrese Haliburton,Domantas Sabonis,Aaron Nesmith,Devin Booker,25.25,32.81,31.18,46.97,58.67,26.87,43.49
L96,Dalano Banton,Shai Gilgeous-Alexander,Evan Fournier,Taylor Hendricks,De'Aaron Fox,Tobias Harris,Domantas Sabonis,25.25,56.41,18.86,25.07,49.67,31.26,58.67
L97,Thomas Bryant,Bobby Portis,Shai Gilgeous-Alexander,Myles Turner,Damian Lillard,Keyonte George,Jalen Williams,22.93,31.18,56.41,35.57,48.66,33.0,37.55
L98,Thomas Bryant,Brice Sensabaugh,Shai Gilgeous-Alexander,Myles Turner,Domantas Sabonis,Malik Monk,Kelly Olynyk,22.93,23.02,56.41,35.57,58.67,34.91,33.95
L99,Stanley Umude,Bruce Brown,De'Aaron Fox,Damian Lillard,Isaac Okoro,Jarrett Allen,Kevin Durant,26.45,32.81,49.67,48.66,23.14,38.87,45.59
L100,Gradey Dick,Dalano Banton,Bobby Portis,Damian Lillard,Collin Sexton,Domantas Sabonis,Paul George,26.1,25.25,31.18,48.66,36.92,58.67,38.64
