First Name,Last Name,Salary,Position,Team,Opponent,Projection,Points,Rebounds,Assists,3PM,final_projections
Davion Mitchell,1,4.5,PG,SAC,TOR,10.82,6.234999999999999,1.51,1.775,0.52,11.044999999999998
Amir Coffey,1,5.5,PF,LAC,POR,13.13,6.54,1.8199999999999998,0.9950000000000001,0.9199999999999999,10.767499999999998
Gary Payton II,1,4.5,SF,GSW,MEM,9.95,4.59,1.7750000000000001,1.025,0.27,8.48125
Luka Samanic,1,4.4,PF,UTA,OKC,9.56,5.050000000000001,2.985,0.71,0.33,10.011249999999999
Drew Eubanks,1,4.6,C,PHX,PHI,9.84,6.085,4.325,0.905,0.02,12.85875
Troy Brown Jr.,1,4.5,SF,DET,IND,9.48,3.94,2.95,1.1600000000000001,0.685,9.709999999999999
AJ Green,1,4.6,SG,MIL,BOS,9.67,4.404999999999999,1.01,0.67,1.225,7.284999999999999
Haywood Highsmith,1,4.5,SF,MIA,CLE,9.26,7.275,3.63,1.345,1.56,14.61
Jaylin Williams,1,4.6,C,OKC,UTA,9.34,3.795,2.6950000000000003,1.5350000000000001,0.72,9.82625
Aaron Wiggins,1,4.5,SG,OKC,UTA,9.12,6.1899999999999995,2.3449999999999998,1.31,1.09,11.63125
Luke Kornet,1,4.9,C,BOS,MIL,9.93,4.484999999999999,3.09,0.63,0.16499999999999998,9.375
Kenrich Williams,1,4.6,PF,OKC,UTA,8.76,4.395,2.475,1.9,0.625,10.65125
Daniel Theis,1,4.9,C,LAC,POR,8.75,6.68,3.645,0.99,0.8,13.12125
Duop Reath,1,4.6,C,POR,LAC,7.7,10.370000000000001,3.83,1.23,1.67,17.837500000000002
Jordan Goodwin,1,7.4,PG,MEM,GSW,11.08,5.82,3.1550000000000002,2.7350000000000003,0.585,14.158750000000003
Bol Bol,1,4.6,C,PHX,PHI,5.53,7.1000000000000005,3.46,0.405,0.97,12.5175
Doug McDermott,1,4.7,SF,IND,DET,5.18,6.870000000000001,1.25,1.13,1.645,10.950000000000001
Mason Plumlee,1,4.8,C,LAC,POR,4.8,4.195,5.345,1.115,0.0,12.548749999999998
Moses Moody,1,4.9,SG,GSW,MEM,4.53,5.455,2.6100000000000003,0.53,0.77,9.8975
Oshae Brissett,1,4.5,PF,BOS,MIL,3.81,5.41,2.6100000000000003,1.345,0.16,10.77
Wenyen Gabriel,1,4.6,PF,MEM,GSW,3.59,3.71,4.675000000000001,0.175,0.0,9.81625
Micah Potter,1,4.4,C,UTA,OKC,3.33,3.33,2.4450000000000003,0.845,0.595,7.951250000000001
Malachi Flynn,1,4.4,PG,DET,IND,2.88,4.835,1.635,1.665,0.665,9.70875
Jaden Springer,1,4.4,SG,BOS,MIL,2.57,1.92,1.045,1.105,0.095,4.93125
